group_id,source_band,final_band,status,components,number_of_components,dominant_period_days,spectral_concentration,minimum_absolute_wcor,mean_absolute_wcor,singular_value_ratio,trajectory_energy_fraction,prefecture_code,variable
G001,baseline,baseline,accepted_baseline,1,1,5478.0,0.9367311572189742,,,,0.8824285885858185,JP-13,cases
G002,interannual,interannual,singleton_candidate,15,1,497.99999999999994,0.4655218002237054,,,,0.0004156963193117,JP-13,cases
G003,interannual,interannual,singleton_candidate,18,1,497.99999999999994,0.23161012975344877,,,,0.0002975552768402,JP-13,cases
G004,interannual,interannual,singleton_candidate,14,1,547.8,0.37064723035569275,,,,0.0004924922250535,JP-13,cases
G005,interannual,interannual,singleton_candidate,16,1,497.99999999999994,0.5249911524048311,,,,0.0003720148513828,JP-13,cases
G006,interannual,interannual,singleton_candidate,19,1,913.0,0.38710322022588517,,,,0.0002452289951267,JP-13,cases
G007,interannual,interannual,accepted_cluster,"4,5",2,1826.0,0.4432687710479236,0.7077704624713864,0.7077704624713864,0.9628383867995987,0.009687664317532999,JP-13,cases
G008,interannual,interannual,singleton_candidate,6,1,1369.5,0.4054961664307492,,,,0.0026476669026701,JP-13,cases
G009,interannual,interannual,singleton_candidate,9,1,1095.6,0.49933927791916455,,,,0.0008296582238349,JP-13,cases
G010,annual,annual,accepted_cluster,"10,11",2,304.3333333333333,0.5112767929978416,0.996654690981937,0.996654690981937,0.9988543594804047,0.0014306057043270998,JP-13,cases
G011,annual,annual,accepted_cluster,"2,3",2,365.2,0.6586504124670557,0.9915754985491465,0.9915754985491465,0.997039058273447,0.042489121068868596,JP-13,cases
G012,annual,annual,accepted_cluster,"38,39",2,421.38461538461536,0.47327138745581726,0.9708737880375065,0.9708737880375065,0.9938859544980703,0.0002533542076585,JP-13,cases
G013,semiannual,semiannual,accepted_cluster,"7,8",2,182.6,0.6439790508766766,0.9697121563059626,0.9697121563059626,0.9814590728722354,0.004501704214769701,JP-13,cases
G014,semiannual,semiannual,accepted_cluster,"60,61",2,210.69230769230768,0.48825357202125785,0.8164063609940087,0.8164063609940087,0.9854202409694822,0.00018509687634395264,JP-13,cases
G015,semiannual,semiannual,accepted_cluster,"34,35",2,171.1875,0.5047504575331151,0.981482240092399,0.981482240092399,0.9947708742473356,0.0003101141036379,JP-13,cases
G016,semiannual,semiannual,singleton_candidate,17,1,228.25,0.3259917244337734,,,,0.0003379965437178,JP-13,cases
G017,semiannual,semiannual,singleton_candidate,24,1,228.25,0.45834468578307064,,,,0.0001934087047415,JP-13,cases
G018,seasonal_subannual,seasonal_subannual,accepted_cluster,"20,21,22",3,40.577777777777776,0.6128303572293741,0.825003054344294,0.906358223732837,0.9903967975149048,0.0006080501526598,JP-13,cases
G019,seasonal_subannual,seasonal_subannual,accepted_cluster,"42,43",2,133.60975609756096,0.5228177774676095,0.7483242462163162,0.7483242462163162,0.9921381319288944,0.0002456801049286,JP-13,cases
G020,seasonal_subannual,seasonal_subannual,accepted_cluster,"32,33",2,140.46153846153845,0.5428690623449012,0.9774848178149913,0.9774848178149913,0.9963233230893322,0.00032438739043559996,JP-13,cases
G021,seasonal_subannual,seasonal_subannual,accepted_cluster,"28,29",2,121.73333333333333,0.3690820673034302,0.9548349607738927,0.9548349607738927,0.9955539322853093,0.000341433869637,JP-13,cases
G022,seasonal_subannual,seasonal_subannual,accepted_cluster,"26,27",2,73.03999999999999,0.6376727350001025,0.9803272055929406,0.9803272055929406,0.9987419096744498,0.00037250086387420004,JP-13,cases
G023,seasonal_subannual,seasonal_subannual,accepted_cluster,"36,37",2,92.84745762711864,0.463273843903823,0.9997035358477526,0.9997035358477526,0.9974780536066378,0.0002935385687337,JP-13,cases
G024,seasonal_subannual,seasonal_subannual,accepted_cluster,"23,25",2,99.6,0.42672240732928673,0.9434812852210428,0.9434812852210428,0.9946443194035914,0.00038664577916629997,JP-13,cases
G025,seasonal_subannual,seasonal_subannual,accepted_cluster,"46,49",2,91.3,0.23389560428642783,0.8148536117723761,0.8148536117723761,0.9831653008406552,0.0002302591536237,JP-13,cases
G026,seasonal_subannual,seasonal_subannual,singleton_candidate,85,1,35.34193548387097,0.21451819939611375,,,,7.087067642345462e-05,JP-13,cases
G027,seasonal_subannual,seasonal_subannual,singleton_candidate,92,1,35.11538461538461,0.22320189139637567,,,,6.671719577632673e-05,JP-13,cases
G028,seasonal_subannual,seasonal_subannual,singleton_candidate,89,1,36.519999999999996,0.18323073890374755,,,,6.837913666765072e-05,JP-13,cases
